UTC,Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-06-25T14:37:02.5420+00:00,3191756172,-204,218,125,-1012,77,17,321,137,85,N/A,N/A
2018-06-25T14:37:02.7920+00:00,3191756421,-234,232,495,-553,71,57,323,223,91,N/A,N/A
2018-06-25T14:37:03.0000+00:00,3191756628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3279682,-11725769
2018-06-25T14:37:03.0440+00:00,3191756672,-237,55,500,-442,148,114,338,276,120,N/A,N/A
2018-06-25T14:37:03.2960+00:00,3191756923,-234,15,366,-302,134,66,353,301,155,N/A,N/A
2018-06-25T14:37:03.5490+00:00,3191757175,-253,189,582,-39,-39,-30,364,324,176,N/A,N/A
2018-06-25T14:37:03.8000+00:00,3191757425,-279,-150,324,211,85,31,359,331,193,N/A,N/A
2018-06-25T14:37:04.0530+00:00,3191757676,-402,-266,359,18,-8,29,363,313,181,N/A,N/A
2018-06-25T14:37:04.3050+00:00,3191757927,-349,38,595,196,-254,376,381,279,163,N/A,N/A
2018-06-25T14:37:04.5570+00:00,3191758178,-170,29,133,104,-456,410,360,226,122,N/A,N/A
2018-06-25T14:37:04.8090+00:00,3191758429,10,10,581,-91,-215,392,328,212,88,N/A,N/A
2018-06-25T14:37:05.0610+00:00,3191758680,-17,99,563,-3,137,320,325,189,83,N/A,N/A
2018-06-25T14:37:05.3030+00:00,3191758921,-25,-8,520,-265,254,372,350,186,98,N/A,N/A
2018-06-25T14:37:05.5540+00:00,3191759171,-54,-36,436,-207,308,513,379,171,135,N/A,N/A
2018-06-25T14:37:05.8070+00:00,3191759423,-143,49,415,-48,61,536,378,122,158,N/A,N/A
2018-06-25T14:37:06.0580+00:00,3191759673,-103,147,466,-172,-115,449,374,96,142,N/A,N/A
2018-06-25T14:37:06.3110+00:00,3191759925,-101,46,458,99,-199,248,343,65,127,N/A,N/A
2018-06-25T14:37:06.5620+00:00,3191760175,-31,33,562,-39,-26,236,308,54,124,N/A,N/A
