UTC,Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-07-23T16:44:42.9350+00:00,1370665940,138,-380,333,-1115,622,-484,215,315,83,N/A,N/A
2018-07-23T16:44:42.9680+00:00,1370665973,181,-459,225,-720,405,-962,199,331,93,N/A,N/A
2018-07-23T16:44:43.0010+00:00,1370666006,108,-446,291,-976,184,-838,191,347,107,N/A,N/A
2018-07-23T16:44:43.0340+00:00,1370666039,133,-401,275,-558,612,-420,196,352,108,N/A,N/A
2018-07-23T16:44:43.0670+00:00,1370666072,153,-415,101,-799,228,-482,194,358,126,N/A,N/A
2018-07-23T16:44:43.1000+00:00,1370666105,46,-435,307,-760,59,-19,185,365,133,N/A,N/A
2018-07-23T16:44:43.1330+00:00,1370666138,243,-324,412,-247,240,111,191,375,141,N/A,N/A
2018-07-23T16:44:43.1660+00:00,1370666171,281,-382,311,-69,-225,-36,188,374,144,N/A,N/A
2018-07-23T16:44:43.2000+00:00,1370666205,217,-412,135,323,-760,-48,192,370,136,N/A,N/A
2018-07-23T16:44:43.2320+00:00,1370666237,341,-546,56,190,-1010,49,175,371,135,N/A,N/A
2018-07-23T16:44:43.2660+00:00,1370666271,234,-548,119,-330,-527,-196,165,375,129,N/A,N/A
2018-07-23T16:44:43.2990+00:00,1370666304,357,-495,-37,-552,224,-142,169,367,137,N/A,N/A
2018-07-23T16:44:43.3320+00:00,1370666337,246,-372,-162,-555,-362,-93,163,379,153,N/A,N/A
2018-07-23T16:44:43.3650+00:00,1370666370,197,-262,8,-333,-405,-221,162,382,162,N/A,N/A
2018-07-23T16:44:43.3980+00:00,1370666403,173,-349,39,-84,32,-235,155,375,165,N/A,N/A
2018-07-23T16:44:43.4310+00:00,1370666436,323,-336,137,-281,10,-322,155,381,163,N/A,N/A
2018-07-23T16:44:43.4640+00:00,1370666469,338,-405,137,41,-214,-461,147,381,171,N/A,N/A
2018-07-23T16:44:43.4980+00:00,1370666503,385,-433,-15,-20,-249,-399,134,390,160,N/A,N/A
2018-07-23T16:44:43.5300+00:00,1370666535,410,-412,-31,-320,188,-249,125,379,161,N/A,N/A
2018-07-23T16:44:43.5640+00:00,1370666569,502,-359,31,-280,192,-285,129,385,173,N/A,N/A
2018-07-23T16:44:43.5970+00:00,1370666602,491,-395,-30,55,-377,-98,121,381,171,N/A,N/A
2018-07-23T16:44:43.6300+00:00,1370666635,232,-418,51,-76,-443,-132,121,387,169,N/A,N/A
2018-07-23T16:44:43.6630+00:00,1370666668,257,-340,95,-180,24,-124,118,374,178,N/A,N/A
