UTC,Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-07-17T19:12:38.0000+00:00,793390849,337,112,354,-24,-11,-97,27,1,181,N/A,N/A
2018-07-17T19:12:38.2510+00:00,793391099,354,106,315,-131,-237,-18,15,15,179,N/A,N/A
2018-07-17T19:12:38.5030+00:00,793391351,342,15,349,44,256,19,7,21,175,N/A,N/A
2018-07-17T19:12:38.7540+00:00,793391601,312,-33,395,-57,126,99,21,45,125,N/A,N/A
2018-07-17T19:12:39.0070+00:00,793391853,202,-58,424,336,743,143,39,55,97,N/A,N/A
2018-07-17T19:12:39.2580+00:00,793392103,113,11,460,251,151,-197,76,26,100,N/A,N/A
2018-07-17T19:12:39.5110+00:00,793392355,107,10,550,322,748,66,76,24,94,N/A,N/A
2018-07-17T19:12:39.7610+00:00,793392605,87,99,439,139,-43,152,81,1,105,N/A,N/A
2018-07-17T19:12:40.0120+00:00,793392855,115,67,448,40,-156,-68,92,6,98,N/A,N/A
2018-07-17T19:12:40.2640+00:00,793393106,-9,49,615,276,28,-75,121,21,79,N/A,N/A
2018-07-17T19:12:40.5160+00:00,793393357,-60,124,498,85,-1,-45,129,17,83,N/A,N/A
2018-07-17T19:12:40.7660+00:00,793393607,12,45,554,3,-337,44,105,19,79,N/A,N/A
2018-07-17T19:12:41.0080+00:00,793393848,34,13,436,-212,314,-252,123,9,85,N/A,N/A
2018-07-17T19:12:41.2600+00:00,793394099,-195,-61,646,-380,494,-380,230,58,48,N/A,N/A
2018-07-17T19:12:41.5120+00:00,793394350,-171,-70,480,-208,-131,-90,217,75,43,N/A,N/A
2018-07-17T19:12:41.7630+00:00,793394601,-108,-138,449,83,-231,223,195,91,29,N/A,N/A
2018-07-17T19:12:42.0140+00:00,793394851,-80,-148,503,-123,39,184,178,86,40,N/A,N/A
2018-07-17T19:12:42.2670+00:00,793395103,-64,-144,494,24,-114,202,175,89,37,N/A,N/A
2018-07-17T19:12:42.5180+00:00,793395353,-97,-120,460,8,-64,48,154,92,38,N/A,N/A
2018-07-17T19:12:42.7660+00:00,793395601,-89,-115,491,30,-53,-67,165,97,35,N/A,N/A
2018-07-17T19:12:43.0180+00:00,793395852,-107,-115,513,-80,15,123,158,92,36,N/A,N/A
2018-07-17T19:12:43.2690+00:00,793396102,-116,-116,467,-31,68,120,163,93,33,N/A,N/A
2018-07-17T19:12:43.5220+00:00,793396354,-149,-85,492,11,100,155,160,94,48,N/A,N/A
2018-07-17T19:12:43.7720+00:00,793396604,-92,-101,448,15,-112,13,153,93,33,N/A,N/A
2018-07-17T19:12:44.0240+00:00,793396855,-151,-90,467,56,-190,49,157,95,31,N/A,N/A
2018-07-17T19:12:44.2750+00:00,793397105,-143,-142,483,217,-197,-6,153,101,27,N/A,N/A
2018-07-17T19:12:44.5270+00:00,793397356,-114,-160,475,56,-156,35,163,109,37,N/A,N/A
2018-07-17T19:12:44.7760+00:00,793397605,-102,-134,488,70,184,-85,162,104,26,N/A,N/A
2018-07-17T19:12:45.0270+00:00,793397855,-117,-177,418,-152,226,-340,169,109,19,N/A,N/A
2018-07-17T19:12:45.2780+00:00,793398105,-161,-147,582,114,-87,-66,196,98,32,N/A,N/A
2018-07-17T19:12:45.5290+00:00,793398355,56,-70,403,121,237,-36,175,43,55,N/A,N/A
2018-07-17T19:12:45.7810+00:00,793398606,-237,-264,762,170,-369,438,239,107,39,N/A,N/A
2018-07-17T19:12:46.0310+00:00,793398856,-121,-134,276,6,386,-120,200,88,44,N/A,N/A
2018-07-17T19:12:46.2830+00:00,793399107,-160,-197,508,-153,-32,146,231,123,29,N/A,N/A
2018-07-17T19:12:46.5250+00:00,793399348,-64,-135,336,-54,-175,256,203,115,37,N/A,N/A
2018-07-17T19:12:46.7770+00:00,793399599,-162,-151,462,311,-139,-147,180,94,30,N/A,N/A
2018-07-17T19:12:47.0270+00:00,793399849,-126,-110,648,224,-223,625,183,65,47,N/A,N/A
2018-07-17T19:12:47.2780+00:00,793400099,-61,4,418,3,-474,-70,145,37,65,N/A,N/A
2018-07-17T19:12:47.5310+00:00,793400351,-26,-9,497,-3,-221,-41,152,30,64,N/A,N/A
2018-07-17T19:12:47.7820+00:00,793400601,35,-7,497,-19,-284,71,111,41,71,N/A,N/A
2018-07-17T19:12:48.0320+00:00,793400851,110,-17,500,-20,-105,55,91,45,67,N/A,N/A
2018-07-17T19:12:48.2850+00:00,793401103,56,-6,475,-23,-162,5,102,44,70,N/A,N/A
2018-07-17T19:12:48.5380+00:00,793401355,111,-20,478,-29,-183,-68,75,47,85,N/A,N/A
2018-07-17T19:12:48.7860+00:00,793401602,121,-26,476,-2,28,-56,68,60,74,N/A,N/A
2018-07-17T19:12:49.0370+00:00,793401853,83,-39,470,-25,-162,70,70,52,86,N/A,N/A
2018-07-17T19:12:49.2890+00:00,793402104,130,-10,463,-19,38,353,49,59,93,N/A,N/A
2018-07-17T19:12:49.5410+00:00,793402355,176,44,130,532,1967,743,38,112,80,N/A,N/A
2018-07-17T19:12:49.7930+00:00,793402606,-114,-149,416,-1555,562,-84,123,91,45,N/A,N/A
2018-07-17T19:12:50.0440+00:00,793402857,-200,-183,702,-812,388,475,143,139,29,N/A,N/A
2018-07-17T19:12:50.2950+00:00,793403107,-70,-211,453,-294,178,-469,133,149,29,N/A,N/A
